district,state,healthcare_priority_score,priority_level,government_recommendation
RAIGARH,MAHARASHTRA,43.89200954853458,Medium,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
FATEHPUR,UTTAR PRADESH,36.60050394751415,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
CUTTACK,ORISSA,41.80916712149157,Medium,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
CUDDALORE,TAMIL NADU,39.52997630657326,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BARMER,RAJASTHAN,26.02484562245408,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BULDANA,MAHARASHTRA,47.01443584621175,Medium,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BID,MAHARASHTRA,28.32732621334558,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
AJMER,RAJASTHAN,25.16494054853405,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
GULBARGA,KARNATAKA,29.733449206991757,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
GOPALGANJ,BIHAR,29.80908844337279,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
SIDDHARTH NAGAR,UTTAR PRADESH,28.480908021818703,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
NIZAMABAD,ANDHRA PRADESH,36.40871410010717,Low,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BHARATPUR,RAJASTHAN,32.70723324404947,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
MATHURA,UTTAR PRADESH,30.509512587141614,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
WEST DELHI,DELHI,36.38348056490212,Low,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
AURANGABAD,BIHAR,32.94442554213303,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
KANNUR,KERALA,18.0891635192492,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
MAYURBHANJ,ORISSA,33.96510698392122,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
FIROZABAD,UTTAR PRADESH,31.741192809239628,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
MIRZAPUR,UTTAR PRADESH,27.62269845477959,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
AMRITSAR,PUNJAB,36.906664955220975,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
TIRUPPUR,TAMIL NADU,31.28057079284044,Low,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
FAIZABAD,UTTAR PRADESH,28.011356744471865,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
TIRUVANNAMALAI,TAMIL NADU,50.07736840685549,Medium,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BASTI,UTTAR PRADESH,27.57123935023347,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
JABALPUR,MADHYA PRADESH,17.80712683804264,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
LATUR,MAHARASHTRA,26.848783349667237,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BELLARY,KARNATAKA,45.00491170092458,Medium,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
GIRIDIH,JHARKHAND,33.93570848617468,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
SABARKANTHA,GUJARAT,36.02595143175831,Low,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
BHILWARA,RAJASTHAN,24.921062218669256,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
THANJAVUR,TAMIL NADU,39.00897711089312,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
AMBEDKAR NAGAR,UTTAR PRADESH,27.080670119961088,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
PANCHMAHAL,GUJARAT,35.90803797813639,Low,Recruit Additional Doctors & Nurses | Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
SAGAR,MADHYA PRADESH,29.49036700039647,Low,Launch Vaccination Campaign | Women's Health Awareness Programme | Improve Maternal Healthcare Services | Strengthen Institutional Delivery Facilities
